Date,Close
11/29/2018,114.04
11/30/2018,115.29
12/3/2018,115.96
12/4/2018,108.47
12/6/2018,105.88
12/7/2018,102.68
12/10/2018,107.55
12/11/2018,107.84
12/12/2018,110.65
12/13/2018,100.62
12/14/2018,101.99
12/17/2018,101.33
12/18/2018,98.55
12/19/2018,92.93
12/20/2018,84.7
12/21/2018,81.94
12/24/2018,83.57
12/26/2018,88.97
12/27/2018,87.89
12/28/2018,88.99
12/31/2018,95.79
1/2/2019,89.45
1/3/2019,89.33
1/4/2019,97.51
1/7/2019,139.13
1/8/2019,129.4
1/9/2019,119.82
1/10/2019,126.22
1/11/2019,125.1
1/14/2019,126.99
1/15/2019,131.94
1/16/2019,135.6
1/17/2019,136.46
1/18/2019,139.79
1/22/2019,137.29
1/23/2019,130.74
1/24/2019,132.23
1/25/2019,132.02
1/28/2019,129.08
1/29/2019,131.63
1/30/2019,132.65
1/31/2019,142.59
2/1/2019,143.02
2/4/2019,146.1
2/5/2019,147.29
2/6/2019,148.55
2/7/2019,146.7
2/8/2019,151.78
2/11/2019,150.54
2/12/2019,153.89
2/13/2019,157.63
2/14/2019,158.09
2/15/2019,160.93
2/19/2019,152.95
2/20/2019,147.66
2/21/2019,146.18
2/22/2019,153.97
2/25/2019,159.37
2/26/2019,152.76
2/27/2019,158.88
2/28/2019,159.25
3/1/2019,159.01
3/4/2019,155.58
3/5/2019,154.41
3/6/2019,149.7
3/7/2019,150.51
3/8/2019,150.91
3/11/2019,155.57
3/12/2019,155.52
3/13/2019,158.7
3/14/2019,154.81
3/15/2019,158.19
3/18/2019,156.88
3/19/2019,156.1
3/20/2019,152.46
3/21/2019,157.98
3/22/2019,156.72
3/25/2019,158.84
3/26/2019,163.65
3/27/2019,158.76
3/28/2019,159.82
3/29/2019,159.05
4/1/2019,157.85
4/2/2019,160.33
4/3/2019,161.79
4/4/2019,161.06
4/5/2019,166.95
4/8/2019,168.07
4/9/2019,168
4/10/2019,170.97
4/11/2019,170.07
4/12/2019,170.6
4/15/2019,167.66
4/16/2019,168.06
4/17/2019,161.47
4/18/2019,164.73
4/22/2019,165.51
